Ⴁ	b AL
ჟინი	ʒ AG i AJ n AE i AJ
ჟინჟღლი	ʒ AG i AJ n AE ʒ AG ɣ BC l AC i AJ
ჟინჟღლიანი	ʒ AG i AJ n AE ʒ AG ɣ BC l AC i AJ ɑ AJ n AE i AJ
ჟიპიტაური	ʒ AG i AJ pʼ AN i AJ tʼ BB ɑ AJ u AK r BA i AJ
ჟირაფი	ʒ AG i AJ r BA ɑ AJ pʰ AF i AJ
ჟოკეი	ʒ AG ɔ AK kʼ AM ɛ AJ i AJ
ჟოლო	ʒ AG ɔ AK l AC ɔ AK
ჟოლოსფერი	ʒ AG ɔ AK l AC ɔ AK s AG pʰ AF ɛ AJ r BA i AJ
ჟონგლიორი	ʒ AG ɔ AK n AE ɡ BD l AC i AJ ɔ AK r BA i AJ
ჟონგლიორობა	ʒ AG ɔ AK n AE ɡ BD l AC i AJ ɔ AK r BA ɔ AK b AL ɑ AJ
ჟუნჟრუკი	ʒ AG u AK n AE ʒ AG r BA u AK kʼ AM i AJ
ჟურნალი	ʒ AG u AK r BA n AE ɑ AJ l AC i AJ
ჟურნალისტი	ʒ AG u AK r BA n AE ɑ AJ l AC i AJ s AG tʼ BB i AJ
ჟურნალისტურად	ʒ AG u AK r BA n AE ɑ AJ l AC i AJ s AG tʼ BB u AK r BA ɑ AJ d AH
ჟურნალისტური	ʒ AG u AK r BA n AE ɑ AJ l AC i AJ s AG tʼ BB u AK r BA i AJ
ჟღალი	ʒ AG ɣ BC ɑ AJ l AC i AJ
ჟღერადი	ʒ AG ɣ BC ɛ AJ r BA ɑ AJ d AH i AJ
ჟღერადობა	ʒ AG ɣ BC ɛ AJ r BA ɑ AJ d AH ɔ AK b AL ɑ AJ
ჟღვლემ	ʒ AG ɣ BC v BE l AC ɛ AJ m AD
ჟღვლემა	ʒ AG ɣ BC v BE l AC ɛ AJ m AD ɑ AJ
ჟღვლემს	ʒ AG ɣ BC v BE l AC ɛ AJ m AD s AG
ჟღმურტლი	ʒ AG ɣ BC m AD u AK r BA tʼ BB l AC i AJ
რა	r BA ɑ AJ
რაბინი	r BA ɑ AJ b AL i AJ n AE i AJ
რაგბი	r BA ɑ AJ ɡ BD b AL i AJ
რაგუ	r BA ɑ AJ ɡ BD u AK
რადგან	r BA ɑ AJ d AH ɡ BD ɑ AJ n AE
რადგანაც	r BA ɑ AJ d AH ɡ BD ɑ AJ n AE ɑ AJ t AH s AG
რადიატორი	r BA ɑ AJ d AH i AJ ɑ AJ tʼ BB ɔ AK r BA i AJ
რადიაცია	r BA ɑ AJ d AH i AJ ɑ AJ t AH s AG i AJ ɑ AJ
რადიკალი	r BA ɑ AJ d AH i AJ kʼ AM ɑ AJ l AC i AJ
რადიკალიზმი	r BA ɑ AJ d AH i AJ kʼ AM ɑ AJ l AC i AJ z AG m AD i AJ
რადიკალურად	r BA ɑ AJ d AH i AJ kʼ AM ɑ AJ l AC u AK r BA ɑ AJ d AH
რადიკალური	r BA ɑ AJ d AH i AJ kʼ AM ɑ AJ l AC u AK r BA i AJ
რადიო	r BA ɑ AJ d AH i AJ ɔ AK
რადიოგრამა	r BA ɑ AJ d AH i AJ ɔ AK ɡ BD r BA ɑ AJ m AD ɑ AJ
რადიოლოგი	r BA ɑ AJ d AH i AJ ɔ AK l AC ɔ AK ɡ BD i AJ
რადიოლოგია	r BA ɑ AJ d AH i AJ ɔ AK l AC ɔ AK ɡ BD i AJ ɑ AJ
რადიოლოკაცია	r BA ɑ AJ d AH i AJ ɔ AK l AC ɔ AK kʼ AM ɑ AJ t AH s AG i AJ ɑ AJ
რადიუმი	r BA ɑ AJ d AH i AJ u AK m AD i AJ
რადიუსი	r BA ɑ AJ d AH i AJ u AK s AG i AJ
რადონი	r BA ɑ AJ d AH ɔ AK n AE i AJ
რაები	r BA ɑ AJ ɛ AJ b AL i AJ
რავი	r BA ɑ AJ v BE i AJ
რავიცი	r BA ɑ AJ v BE i AJ t AH s AG i AJ
რაზა	r BA ɑ AJ z AG ɑ AJ
რაზეც	r BA ɑ AJ z AG ɛ AJ t AH s AG
რაზმები	r BA ɑ AJ z AG m AD ɛ AJ b AL i AJ
რაზმი	r BA ɑ AJ z AG m AD i AJ
რაიმე	r BA ɑ AJ i AJ m AD ɛ AJ
რაიმონდი	r BA ɑ AJ i AJ m AD ɔ AK n AE d AH i AJ
რაინდი	r BA ɑ AJ i AJ n AE d AH i AJ
რაინდობა	r BA ɑ AJ i AJ n AE d AH ɔ AK b AL ɑ AJ
რაინდულად	r BA ɑ AJ i AJ n AE d AH u AK l AC ɑ AJ d AH
რაინდული	r BA ɑ AJ i AJ n AE d AH u AK l AC i AJ
რაიონი	r BA ɑ AJ i AJ ɔ AK n AE i AJ
რამ	r BA ɑ AJ m AD
რამდენადმე	r BA ɑ AJ m AD d AH ɛ AJ n AE ɑ AJ d AH m AD ɛ AJ
რამდენი	r BA ɑ AJ m AD d AH ɛ AJ n AE i AJ
რამდენიმე	r BA ɑ AJ m AD d AH ɛ AJ n AE i AJ m AD ɛ AJ
რამდენიმედ	r BA ɑ AJ m AD d AH ɛ AJ n AE i AJ m AD ɛ AJ d AH
რამე	r BA ɑ AJ m AD ɛ AJ
რამეები	r BA ɑ AJ m AD ɛ AJ ɛ AJ b AL i AJ
რამიშვილი	r BA ɑ AJ m AD i AJ ʃ AG v BE i AJ l AC i AJ
რამოდენი	r BA ɑ AJ m AD ɔ AK d AH ɛ AJ n AE i AJ
რამოდენიმე	r BA ɑ AJ m AD ɔ AK d AH ɛ AJ n AE i AJ m AD ɛ AJ
რამპა	r BA ɑ AJ m AD pʼ AN ɑ AJ
რანეტი	r BA ɑ AJ n AE ɛ AJ tʼ BB i AJ
რანტი	r BA ɑ AJ n AE tʼ BB i AJ
რანჩო	r BA ɑ AJ n AE t AH ʃ AG ɔ AK
რაობა	r BA ɑ AJ ɔ AK b AL ɑ AJ
რაოდენობა	r BA ɑ AJ ɔ AK d AH ɛ AJ n AE ɔ AK b AL ɑ AJ
რაოდენობითად	r BA ɑ AJ ɔ AK d AH ɛ AJ n AE ɔ AK b AL i AJ tʰ AI ɑ AJ d AH
რაოდენობითი	r BA ɑ AJ ɔ AK d AH ɛ AJ n AE ɔ AK b AL i AJ tʰ AI i AJ
რას	r BA ɑ AJ s AG
რასაკვირველია	r BA ɑ AJ s AG ɑ AJ kʼ AM v BE i AJ r BA v BE ɛ AJ l AC i AJ ɑ AJ
რასიზმი	r BA ɑ AJ s AG i AJ z AG m AD i AJ
რასისტი	r BA ɑ AJ s AG i AJ s AG tʼ BB i AJ
რასულად	r BA ɑ AJ s AG u AK l AC ɑ AJ d AH
რასული	r BA ɑ AJ s AG u AK l AC i AJ
რატი	r BA ɑ AJ tʼ BB i AJ
რატიფიკაცია	r BA ɑ AJ tʼ BB i AJ pʰ AF i AJ kʼ AM ɑ AJ t AH s AG i AJ ɑ AJ
რატო	r BA ɑ AJ tʼ BB ɔ AK
რატომ	r BA ɑ AJ tʼ BB ɔ AK m AD
რაუნდი	r BA ɑ AJ u AK n AE d AH i AJ
რაფა	r BA ɑ AJ pʰ AF ɑ AJ
რაფსოდია	r BA ɑ AJ pʰ AF s AG ɔ AK d AH i AJ ɑ AJ
რაქიტი	r BA ɑ AJ kʰ AB i AJ tʼ BB i AJ
რაღა	r BA ɑ AJ ɣ BC ɑ AJ
რაღაც	r BA ɑ AJ ɣ BC ɑ AJ t AH s AG
რაღაცა	r BA ɑ AJ ɣ BC ɑ AJ t AH s AG ɑ AJ
რაღაცეები	r BA ɑ AJ ɣ BC ɑ AJ t AH s AG ɛ AJ ɛ AJ b AL i AJ
რაყიფი	r BA ɑ AJ qʼ AM i AJ pʰ AF i AJ
რაში	r BA ɑ AJ ʃ AG i AJ
რაციონალიზმი	r BA ɑ AJ t AH s AG i AJ ɔ AK n AE ɑ AJ l AC i AJ z AG m AD i AJ
რაციონალისტი	r BA ɑ AJ t AH s AG i AJ ɔ AK n AE ɑ AJ l AC i AJ s AG tʼ BB i AJ
რაციონალურად	r BA ɑ AJ t AH s AG i AJ ɔ AK n AE ɑ AJ l AC u AK r BA ɑ AJ d AH
რაციონალური	r BA ɑ AJ t AH s AG i AJ ɔ AK n AE ɑ AJ l AC u AK r BA i AJ
რაჭა	r BA ɑ AJ t AH ʃʼ BF ɑ AJ
რახსი	r BA ɑ AJ x BC s AG i AJ
რაჯა	r BA ɑ AJ d AH ʒ AG ɑ AJ
რაჯი	r BA ɑ AJ d AH ʒ AG i AJ
რბილად	r BA b AL i AJ l AC ɑ AJ d AH
რბილი	r BA b AL i AJ l AC i AJ
რბოლა	r BA b AL ɔ AK l AC ɑ AJ
რგავს	r BA ɡ BD ɑ AJ v BE s AG
რგოლი	r BA ɡ BD ɔ AK l AC i AJ
რგოლისებრი	r BA ɡ BD ɔ AK l AC i AJ s AG ɛ AJ b AL r BA i AJ
რე	r BA ɛ AJ
რეაბილიტაცია	r BA ɛ AJ ɑ AJ b AL i AJ l AC i AJ tʼ BB ɑ AJ t AH s AG i AJ ɑ AJ
რეალიზაცია	r BA ɛ AJ ɑ AJ l AC i AJ z AG ɑ AJ t AH s AG i AJ ɑ AJ
რეალიზებადი	r BA ɛ AJ ɑ AJ l AC i AJ z AG ɛ AJ b AL ɑ AJ d AH i AJ
რეალიზმი	r BA ɛ AJ ɑ AJ l AC i AJ z AG m AD i AJ
რეალისტი	r BA ɛ AJ ɑ AJ l AC i AJ s AG tʼ BB i AJ
რეალისტურად	r BA ɛ AJ ɑ AJ l AC i AJ s AG tʼ BB u AK r BA ɑ AJ d AH
რეალისტური	r BA ɛ AJ ɑ AJ l AC i AJ s AG tʼ BB u AK r BA i AJ
რეალობა	r BA ɛ AJ ɑ AJ l AC ɔ AK b AL ɑ AJ
რეალურად	r BA ɛ AJ ɑ AJ l AC u AK r BA ɑ AJ d AH
რეალური	r BA ɛ AJ ɑ AJ l AC u AK r BA i AJ
რეალურობა	r BA ɛ AJ ɑ AJ l AC u AK r BA ɔ AK b AL ɑ AJ
რეაქტივი	r BA ɛ AJ ɑ AJ kʰ AB tʼ BB i AJ v BE i AJ
რეაქტორი	r BA ɛ AJ ɑ AJ kʰ AB tʼ BB ɔ AK r BA i AJ
რეაქცია	r BA ɛ AJ ɑ AJ kʰ AB t AH s AG i AJ ɑ AJ
რეაქციონერი	r BA ɛ AJ ɑ AJ kʰ AB t AH s AG i AJ ɔ AK n AE ɛ AJ r BA i AJ
რებეკა	r BA ɛ AJ b AL ɛ AJ kʼ AM ɑ AJ
რებუსი	r BA ɛ AJ b AL u AK s AG i AJ
რეგატა	r BA ɛ AJ ɡ BD ɑ AJ tʼ BB ɑ AJ
რეგენტი	r BA ɛ AJ ɡ BD ɛ AJ n AE tʼ BB i AJ
რეგენტობა	r BA ɛ AJ ɡ BD ɛ AJ n AE tʼ BB ɔ AK b AL ɑ AJ
რეგიონად	r BA ɛ AJ ɡ BD i AJ ɔ AK n AE ɑ AJ d AH
რეგიონალურად	r BA ɛ AJ ɡ BD i AJ ɔ AK n AE ɑ AJ l AC u AK r BA ɑ AJ d AH
რეგიონალური	r BA ɛ AJ ɡ BD i AJ ɔ AK n AE ɑ AJ l AC u AK r BA i AJ
რეგიონი	r BA ɛ AJ ɡ BD i AJ ɔ AK n AE i AJ
რეგიონით	r BA ɛ AJ ɡ BD i AJ ɔ AK n AE i AJ tʰ AI
რეგიონის	r BA ɛ AJ ɡ BD i AJ ɔ AK n AE i AJ s AG
რეგიონმა	r BA ɛ AJ ɡ BD i AJ ɔ AK n AE m AD ɑ AJ
რეგიონს	r BA ɛ AJ ɡ BD i AJ ɔ AK n AE s AG
რეგისტრატურა	r BA ɛ AJ ɡ BD i AJ s AG tʼ BB r BA ɑ AJ tʼ BB u AK r BA ɑ AJ
რეგისტრაცია	r BA ɛ AJ ɡ BD i AJ s AG tʼ BB r BA ɑ AJ t AH s AG i AJ ɑ AJ
რეგრესი	r BA ɛ AJ ɡ BD r BA ɛ AJ s AG i AJ
რეგრესიული	r BA ɛ AJ ɡ BD r BA ɛ AJ s AG i AJ u AK l AC i AJ
რეგულარულად	r BA ɛ AJ ɡ BD u AK l AC ɑ AJ r BA u AK l AC ɑ AJ d AH
რეგულარული	r BA ɛ AJ ɡ BD u AK l AC ɑ AJ r BA u AK l AC i AJ
რეგულირებადი	r BA ɛ AJ ɡ BD u AK l AC i AJ r BA ɛ AJ b AL ɑ AJ d AH i AJ
რედაქტირება	r BA ɛ AJ d AH ɑ AJ kʰ AB tʼ BB i AJ r BA ɛ AJ b AL ɑ AJ
რედაქტორი	r BA ɛ AJ d AH ɑ AJ kʰ AB tʼ BB ɔ AK r BA i AJ
რეესტრი	r BA ɛ AJ ɛ AJ s AG tʼ BB r BA i AJ
რევაზი	r BA ɛ AJ v BE ɑ AJ z AG i AJ
რევაზიშვილი	r BA ɛ AJ v BE ɑ AJ z AG i AJ ʃ AG v BE i AJ l AC i AJ
რევანდი	r BA ɛ AJ v BE ɑ AJ n AE d AH i AJ
რევერანსი	r BA ɛ AJ v BE ɛ AJ r BA ɑ AJ n AE s AG i AJ
რევიზია	r BA ɛ AJ v BE i AJ z AG i AJ ɑ AJ
რევიზიონიზმი	r BA ɛ AJ v BE i AJ z AG i AJ ɔ AK n AE i AJ z AG m AD i AJ
რევიზიონისტი	r BA ɛ AJ v BE i AJ z AG i AJ ɔ AK n AE i AJ s AG tʼ BB i AJ
რევიზორი	r BA ɛ AJ v BE i AJ z AG ɔ AK r BA i AJ
რევმატიზმი	r BA ɛ AJ v BE m AD ɑ AJ tʼ BB i AJ z AG m AD i AJ
რევოლვერი	r BA ɛ AJ v BE ɔ AK l AC v BE ɛ AJ r BA i AJ
რევოლუცია	r BA ɛ AJ v BE ɔ AK l AC u AK t AH s AG i AJ ɑ AJ
რევოლუციური	r BA ɛ AJ v BE ɔ AK l AC u AK t AH s AG i AJ u AK r BA i AJ
რეზედა	r BA ɛ AJ z AG ɛ AJ d AH ɑ AJ
რეზერვაცია	r BA ɛ AJ z AG ɛ AJ r BA v BE ɑ AJ t AH s AG i AJ ɑ AJ
რეზერვი	r BA ɛ AJ z AG ɛ AJ r BA v BE i AJ
რეზერვისტი	r BA ɛ AJ z AG ɛ AJ r BA v BE i AJ s AG tʼ BB i AJ
რეზერვუარი	r BA ɛ AJ z AG ɛ AJ r BA v BE u AK ɑ AJ r BA i AJ
რეზიკო	r BA ɛ AJ z AG i AJ kʼ AM ɔ AK
რეზიუმე	r BA ɛ AJ z AG i AJ u AK m AD ɛ AJ
რეზო	r BA ɛ AJ z AG ɔ AK
რეზონანსი	r BA ɛ AJ z AG ɔ AK n AE ɑ AJ n AE s AG i AJ
რეზონატორი	r BA ɛ AJ z AG ɔ AK n AE ɑ AJ tʼ BB ɔ AK r BA i AJ
რეზულტატი	r BA ɛ AJ z AG u AK l AC tʼ BB ɑ AJ tʼ BB i AJ
რეზუსი	r BA ɛ AJ z AG u AK s AG i AJ
რეიდი	r BA ɛ AJ i AJ d AH i AJ
რეინკარნაცია	r BA ɛ AJ i AJ n AE kʼ AM ɑ AJ r BA n AE ɑ AJ t AH s AG i AJ ɑ AJ
რეიტინგი	r BA ɛ AJ i AJ tʼ BB i AJ n AE ɡ BD i AJ
რეკავს	r BA ɛ AJ kʼ AM ɑ AJ v BE s AG
რეკვა	r BA ɛ AJ kʼ AM v BE ɑ AJ
რეკლამა	r BA ɛ AJ kʼ AM l AC ɑ AJ m AD ɑ AJ
რეკომენდაცია	r BA ɛ AJ kʼ AM ɔ AK m AD ɛ AJ n AE d AH ɑ AJ t AH s AG i AJ ɑ AJ
რეკორდული	r BA ɛ AJ kʼ AM ɔ AK r BA d AH u AK l AC i AJ
რელიგია	r BA ɛ AJ l AC i AJ ɡ BD i AJ ɑ AJ
რელიგიურად	r BA ɛ AJ l AC i AJ ɡ BD i AJ u AK r BA ɑ AJ d AH
რელიგიური	r BA ɛ AJ l AC i AJ ɡ BD i AJ u AK r BA i AJ
რემონტი	r BA ɛ AJ m AD ɔ AK n AE tʼ BB i AJ
რენეგატობა	r BA ɛ AJ n AE ɛ AJ ɡ BD ɑ AJ tʼ BB ɔ AK b AL ɑ AJ
რენეგატული	r BA ɛ AJ n AE ɛ AJ ɡ BD ɑ AJ tʼ BB u AK l AC i AJ
რენესანსი	r BA ɛ AJ n AE ɛ AJ s AG ɑ AJ n AE s AG i AJ
რენიუმი	r BA ɛ AJ n AE i AJ u AK m AD i AJ
რენკლოდი	r BA ɛ AJ n AE kʼ AM l AC ɔ AK d AH i AJ
რენტა	r BA ɛ AJ n AE tʼ BB ɑ AJ
რენტაბელური	r BA ɛ AJ n AE tʼ BB ɑ AJ b AL ɛ AJ l AC u AK r BA i AJ
რენტგენი	r BA ɛ AJ n AE tʼ BB ɡ BD ɛ AJ n AE i AJ
რეოსტატი	r BA ɛ AJ ɔ AK s AG tʼ BB ɑ AJ tʼ BB i AJ
რეპატრიანტი	r BA ɛ AJ pʼ AN ɑ AJ tʼ BB r BA i AJ ɑ AJ n AE tʼ BB i AJ
რეპატრიაცია	r BA ɛ AJ pʼ AN ɑ AJ tʼ BB r BA i AJ ɑ AJ t AH s AG i AJ ɑ AJ
რეპერტუარი	r BA ɛ AJ pʼ AN ɛ AJ r BA tʼ BB u AK ɑ AJ r BA i AJ
რეპეტიტორი	r BA ɛ AJ pʼ AN ɛ AJ tʼ BB i AJ tʼ BB ɔ AK r BA i AJ
რეპეტიცია	r BA ɛ AJ pʼ AN ɛ AJ tʼ BB i AJ t AH s AG i AJ ɑ AJ
რეპი	r BA ɛ AJ pʼ AN i AJ
რეპლიკა	r BA ɛ AJ pʼ AN l AC i AJ kʼ AM ɑ AJ
რეპორტაჟი	r BA ɛ AJ pʼ AN ɔ AK r BA tʼ BB ɑ AJ ʒ AG i AJ
რეპორტიორი	r BA ɛ AJ pʼ AN ɔ AK r BA tʼ BB i AJ ɔ AK r BA i AJ
რეპრესია	r BA ɛ AJ pʼ AN r BA ɛ AJ s AG i AJ ɑ AJ
რეპრესიული	r BA ɛ AJ pʼ AN r BA ɛ AJ s AG i AJ u AK l AC i AJ
რეპროდუქტორი	r BA ɛ AJ pʼ AN r BA ɔ AK d AH u AK kʰ AB tʼ BB ɔ AK r BA i AJ
რეპროდუქცია	r BA ɛ AJ pʼ AN r BA ɔ AK d AH u AK kʰ AB t AH s AG i AJ ɑ AJ
რეპუტაცია	r BA ɛ AJ pʼ AN u AK tʼ BB ɑ AJ t AH s AG i AJ ɑ AJ
რეჟიმი	r BA ɛ AJ ʒ AG i AJ m AD i AJ
რეჟისორი	r BA ɛ AJ ʒ AG i AJ s AG ɔ AK r BA i AJ
რესკრიპტი	r BA ɛ AJ s AG kʼ AM r BA i AJ pʼ AN tʼ BB i AJ
რესპექტაბელურად	r BA ɛ AJ s AG pʼ AN ɛ AJ kʰ AB tʼ BB ɑ AJ b AL ɛ AJ l AC u AK r BA ɑ AJ d AH
რესპირატორი	r BA ɛ AJ s AG pʼ AN i AJ r BA ɑ AJ tʼ BB ɔ AK r BA i AJ
რესპონდენტი	r BA ɛ AJ s AG pʼ AN ɔ AK n AE d AH ɛ AJ n AE tʼ BB i AJ
რესპუბლიკა	r BA ɛ AJ s AG pʼ AN u AK b AL l AC i AJ kʼ AM ɑ AJ
რესპუბლიკური	r BA ɛ AJ s AG pʼ AN u AK b AL l AC i AJ kʼ AM u AK r BA i AJ
რესტავრატორი	r BA ɛ AJ s AG tʼ BB ɑ AJ v BE r BA ɑ AJ tʼ BB ɔ AK r BA i AJ
რესტავრაცია	r BA ɛ AJ s AG tʼ BB ɑ AJ v BE r BA ɑ AJ t AH s AG i AJ ɑ AJ
რესურსი	r BA ɛ AJ s AG u AK r BA s AG i AJ
რეტროგრადული	r BA ɛ AJ tʼ BB r BA ɔ AK ɡ BD r BA ɑ AJ d AH u AK l AC i AJ
რეტროსპექტულად	r BA ɛ AJ tʼ BB r BA ɔ AK s AG pʼ AN ɛ AJ kʰ AB tʼ BB u AK l AC ɑ AJ d AH
რეტროსპექცია	r BA ɛ AJ tʼ BB r BA ɔ AK s AG pʼ AN ɛ AJ kʰ AB t AH s AG i AJ ɑ AJ
რეფერენდუმი	r BA ɛ AJ pʰ AF ɛ AJ r BA ɛ AJ n AE d AH u AK m AD i AJ
რეფლექსი	r BA ɛ AJ pʰ AF l AC ɛ AJ kʰ AB s AG i AJ
რეფლექტორი	r BA ɛ AJ pʰ AF l AC ɛ AJ kʰ AB tʼ BB ɔ AK r BA i AJ
რეფორმა	r BA ɛ AJ pʰ AF ɔ AK r BA m AD ɑ AJ
რეფორმატორი	r BA ɛ AJ pʰ AF ɔ AK r BA m AD ɑ AJ tʼ BB ɔ AK r BA i AJ
რეფრენი	r BA ɛ AJ pʰ AF r BA ɛ AJ n AE i AJ
რექტორი	r BA ɛ AJ kʰ AB tʼ BB ɔ AK r BA i AJ
რეჩიტატივი	r BA ɛ AJ t AH ʃ AG i AJ tʼ BB ɑ AJ tʼ BB i AJ v BE i AJ
რეცეპტი	r BA ɛ AJ t AH s AG ɛ AJ pʼ AN tʼ BB i AJ
რეცეპტიულად	r BA ɛ AJ t AH s AG ɛ AJ pʼ AN tʼ BB i AJ u AK l AC ɑ AJ d AH
რეციდივი	r BA ɛ AJ t AH s AG i AJ d AH i AJ v BE i AJ
რეციდივიზმი	r BA ɛ AJ t AH s AG i AJ d AH i AJ v BE i AJ z AG m AD i AJ
რეციდივისტი	r BA ɛ AJ t AH s AG i AJ d AH i AJ v BE i AJ s AG tʼ BB i AJ
რეცხვა	r BA ɛ AJ t AH s AG x BC v BE ɑ AJ
რეჰანად	r BA ɛ AJ h AA ɑ AJ n AE ɑ AJ d AH
რეჰანი	r BA ɛ AJ h AA ɑ AJ n AE i AJ
რეჰანით	r BA ɛ AJ h AA ɑ AJ n AE i AJ tʰ AI
რეჰანის	r BA ɛ AJ h AA ɑ AJ n AE i AJ s AG
რეჰანმა	r BA ɛ AJ h AA ɑ AJ n AE m AD ɑ AJ
რეჰანო	r BA ɛ AJ h AA ɑ AJ n AE ɔ AK
რეჰანს	r BA ɛ AJ h AA ɑ AJ n AE s AG
რვა	r BA v BE ɑ AJ
რვაკუთხედი	r BA v BE ɑ AJ kʼ AM u AK tʰ AI x BC ɛ AJ d AH i AJ
რვაფეხა	r BA v BE ɑ AJ pʰ AF ɛ AJ x BC ɑ AJ
რვეული	r BA v BE ɛ AJ u AK l AC i AJ
რთავს	r BA tʰ AI ɑ AJ v BE s AG
რთვა	r BA tʰ AI v BE ɑ AJ
რთველი	r BA tʰ AI v BE ɛ AJ l AC i AJ
რთული	r BA tʰ AI u AK l AC i AJ
რიგა	r BA i AJ ɡ BD ɑ AJ
რიგი	r BA i AJ ɡ BD i AJ
რიგიანად	r BA i AJ ɡ BD i AJ ɑ AJ n AE ɑ AJ d AH
რიგიანი	r BA i AJ ɡ BD i AJ ɑ AJ n AE i AJ
რიგობითი	r BA i AJ ɡ BD ɔ AK b AL i AJ tʰ AI i AJ
რიგრიგობით	r BA i AJ ɡ BD r BA i AJ ɡ BD ɔ AK b AL i AJ tʰ AI
რით	r BA i AJ tʰ AI
რითაც	r BA i AJ tʰ AI ɑ AJ t AH s AG
რითმა	r BA i AJ tʰ AI m AD ɑ AJ
რითმავს	r BA i AJ tʰ AI m AD ɑ AJ v BE s AG
რიკი	r BA i AJ kʼ AM i AJ
რიკოშეტი	r BA i AJ kʼ AM ɔ AK ʃ AG ɛ AJ tʼ BB i AJ
რიკული	r BA i AJ kʼ AM u AK l AC i AJ
რინგი	r BA i AJ n AE ɡ BD i AJ
რიონი	r BA i AJ ɔ AK n AE i AJ
რიჟრაჟი	r BA i AJ ʒ AG r BA ɑ AJ ʒ AG i AJ
რის	r BA i AJ s AG
რისთვის	r BA i AJ s AG tʰ AI v BE i AJ s AG
რისკი	r BA i AJ s AG kʼ AM i AJ
რისკიანად	r BA i AJ s AG kʼ AM i AJ ɑ AJ n AE ɑ AJ d AH
რისკიანი	r BA i AJ s AG kʼ AM i AJ ɑ AJ n AE i AJ
რისხვა	r BA i AJ s AG x BC v BE ɑ AJ
რიტმი	r BA i AJ tʼ BB m AD i AJ
რიტმიკა	r BA i AJ tʼ BB m AD i AJ kʼ AM ɑ AJ
რიტმულად	r BA i AJ tʼ BB m AD u AK l AC ɑ AJ d AH
რიტმული	r BA i AJ tʼ BB m AD u AK l AC i AJ
რიტორები	r BA i AJ tʼ BB ɔ AK r BA ɛ AJ b AL i AJ
რიტორი	r BA i AJ tʼ BB ɔ AK r BA i AJ
რიტორიკულად	r BA i AJ tʼ BB ɔ AK r BA i AJ kʼ AM u AK l AC ɑ AJ d AH
რიტორიკული	r BA i AJ tʼ BB ɔ AK r BA i AJ kʼ AM u AK l AC i AJ
რიტუალი	r BA i AJ tʼ BB u AK ɑ AJ l AC i AJ
რიტუალური	r BA i AJ tʼ BB u AK ɑ AJ l AC u AK r BA i AJ
რიფი	r BA i AJ pʰ AF i AJ
რიქშა	r BA i AJ kʰ AB ʃ AG ɑ AJ
რიჩარდი	r BA i AJ t AH ʃ AG ɑ AJ r BA d AH i AJ
რიჩმონდი	r BA i AJ t AH ʃ AG m AD ɔ AK n AE d AH i AJ
რიცხვი	r BA i AJ t AH s AG x BC v BE i AJ
რიცხობრივად	r BA i AJ t AH s AG x BC ɔ AK b AL r BA i AJ v BE ɑ AJ d AH
რიცხობრივი	r BA i AJ t AH s AG x BC ɔ AK b AL r BA i AJ v BE i AJ
რიხი	r BA i AJ x BC i AJ
რკალი	r BA kʼ AM ɑ AJ l AC i AJ
რკინა	r BA kʼ AM i AJ n AE ɑ AJ
რკინაბეტონი	r BA kʼ AM i AJ n AE ɑ AJ b AL ɛ AJ tʼ BB ɔ AK n AE i AJ
რკინიგზა	r BA kʼ AM i AJ n AE i AJ ɡ BD z AG ɑ AJ
რკო	r BA kʼ AM ɔ AK
რო	r BA ɔ AK
რობერტ	r BA ɔ AK b AL ɛ AJ r BA tʼ BB
რობერტი	r BA ɔ AK b AL ɛ AJ r BA tʼ BB i AJ
რობოტი	r BA ɔ AK b AL ɔ AK tʼ BB i AJ
როგორ	r BA ɔ AK ɡ BD ɔ AK r BA
როგორი	r BA ɔ AK ɡ BD ɔ AK r BA i AJ
როგორმე	r BA ɔ AK ɡ BD ɔ AK r BA m AD ɛ AJ
როგორღაც	r BA ɔ AK ɡ BD ɔ AK r BA ɣ BC ɑ AJ t AH s AG
როდესმე	r BA ɔ AK d AH ɛ AJ s AG m AD ɛ AJ
როდის	r BA ɔ AK d AH i AJ s AG
როდიუმი	r BA ɔ AK d AH i AJ u AK m AD i AJ
როზგავს	r BA ɔ AK z AG ɡ BD ɑ AJ v BE s AG
როზგი	r BA ɔ AK z AG ɡ BD i AJ
როზეტი	r BA ɔ AK z AG ɛ AJ tʼ BB i AJ
როზმარი	r BA ɔ AK z AG m AD ɑ AJ r BA i AJ
როზმარინი	r BA ɔ AK z AG m AD ɑ AJ r BA i AJ n AE i AJ
როიალისტი	r BA ɔ AK i AJ ɑ AJ l AC i AJ s AG tʼ BB i AJ
როკენროლი	r BA ɔ AK kʼ AM ɛ AJ n AE r BA ɔ AK l AC i AJ
როკერი	r BA ɔ AK kʼ AM ɛ AJ r BA i AJ
როკი	r BA ɔ AK kʼ AM i AJ
როკნროლი	r BA ɔ AK kʼ AM n AE r BA ɔ AK l AC i AJ
როკფორი	r BA ɔ AK kʼ AM pʰ AF ɔ AK r BA i AJ
როლი	r BA ɔ AK l AC i AJ
რომ	r BA ɔ AK m AD
რომად	r BA ɔ AK m AD ɑ AJ d AH
რომაელი	r BA ɔ AK m AD ɑ AJ ɛ AJ l AC i AJ
რომანი	r BA ɔ AK m AD ɑ AJ n AE i AJ
